date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,niveau_opportunite_amarante,titre,acheteur,pays_execution,type_document,categorie_es,secteur,board_prevu,date_publication,type_client,type_mobilite,profil_personnes_exposees,duree_estimee,accessibilite_commerciale,securite_existante_detectee,profils_acteurs_probables,cible_commerciale_reelle,justification,confiance,modele,raffine,divergence,statut,valeur_estimee,publication_number,lien_avis,statut_suivi,date_detection
2026-08-01,6.0,5.5,6.5,contacter,indetermine,moyen,Dorado Cashew,Dorado FZCO,Cote D'Ivoire,Environmental Documents (AIP Policy 2012),B - Limited,A-AG - Diversified Edible Agricultural Crops Production,,2026-07-30,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeur de projet ou directeur d'usine expatrie resident en Cote d'Ivoire, ingenieur de construction ou chef de chantier international supervisant le site de Yamoussoukro, responsable qualite ou technicien process agro-industriel en deplacement entre les deux sites, responsable achats ou coordinateur filieres supervisant les cooperatives en regions, cadre financier ou auditeur en mission ponctuelle pour le compte du sponsor ou du bailleur","Investissement prive finance par l'IFC (entreprise projet : Dorado FZCO) en Cote D'Ivoire. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique deux sites industriels actifs (Toumodi et Yamoussoukro) plus des deplacements frequents vers des cooperatives en regions, exposant des cadres et techniciens internationaux a des mobilites multi-sites sur une duree longue jusqu'en 2027 au minimum. La Cote d'Ivoire presente des risques de securite routiere, de criminalite opportuniste et de tensions sociales en zones rurales qui justifient un dispositif de protection et d'escorte pour le personnel expatrie.",0.78,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:51919,https://disclosures.ifc.org/project-detail/ESRS/51919/dorado-cashew,nouveau,2026-08-01
2026-08-01,6.2,5.9,6.5,contacter,indetermine,fort,Indorama Eleme Fertilizer-IV,INDORAMA ELEME FERTILIZER AND CHEMICALS FZE,Nigeria,Early Disclosure,A - Significant,G-DA - Nitrogenous Fertilizer,,2026-07-27,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeurs de projet et cadres expatriés du groupe industriel sponsor, ingénieurs et techniciens spécialisés en construction d'unités pétrochimiques et de fertilisants, superviseurs de chantier pour la pose du pipeline de gaz naturel (65 km), experts en évaluation environnementale et sociale (ESIA) en déplacement terrain, représentants de l'institution financière internationale en mission de supervision","Investissement prive finance par l'IFC (entreprise projet : INDORAMA ELEME FERTILIZER AND CHEMICALS FZE) en Nigeria. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique la construction d'une ligne de production industrielle lourde et d'un pipeline de 65 km en Rivers State, région à risque sécuritaire élevé (criminalité, tensions communautaires, sabotage d'infrastructures énergétiques), nécessitant une présence prolongée de cadres expatriés et de techniciens internationaux sur des sites multiples et isolés. Les besoins en escorte, protection rapprochée et sécurisation des déplacements entre le complexe industriel et le tracé pipeline sont concrets et durables.",0.91,claude-sonnet-4-6,True,False,Active,inconnu,IFC:52224,https://disclosures.ifc.org/project-detail/SII/52224/indorama-eleme-fertilizer-iv,nouveau,2026-08-01
2026-08-01,5.5,4.5,6.5,surveiller,indetermine,moyen,Enlight NZF,NZF III S de RL de CV,Mexico,Environmental Documents (AIP Policy 2012),B - Limited,V-BG - Renewable Funds - Renewable Energy Generation,,2026-07-24,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"directeur de projet ou chef de programme multi-sites, ingénieurs et techniciens spécialisés en installation solaire PV et BESS, superviseurs de chantier génie civil, responsables achats et logistique équipements, équipes opération et maintenance itinérantes","Investissement prive finance par l'IFC (entreprise projet : NZF III S de RL de CV) en Mexico. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet déploie des équipes techniques sur 162 sous-projets dispersés à travers le Mexique sur quatre ans, impliquant des déplacements récurrents de superviseurs et techniciens vers des sites industriels et commerciaux en zones urbaines et péri-urbaines, dans un contexte sécuritaire mexicain hétérogène. Le besoin porte principalement sur la sécurisation des déplacements multi-sites et l'escorte de personnel technique itinérant, avec une intensité variable selon la géographie des sous-projets.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:51528,https://disclosures.ifc.org/project-detail/ESRS/51528/enlight-nzf,nouveau,2026-08-01
2026-08-01,6.0,5.5,6.5,contacter,indetermine,moyen,Asmara Group ZM-DJ,Asmara Holdings Limited,Zambia,Summary of Investment Information (AIP Policy 2012),B - Limited,U-AA - City and Business Hotel,2026-09-15,2026-07-13,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeur de projet expatrié supervisant les deux chantiers, responsable technique hôtellerie mandaté par la marque internationale, ingénieurs et superviseurs de construction déployés sur site à Lusaka, responsable logistique et infrastructure pour le site d'entreposage à Djibouti, représentants des sponsors privés en déplacement entre les deux pays","Investissement prive finance par l'IFC (entreprise projet : Asmara Holdings Limited) en Zambia. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique deux chantiers de construction simultanés dans deux pays distincts, Zambie et Djibouti, nécessitant la présence régulière de cadres expatriés et de superviseurs techniques sur site. Les déplacements inter-sites et la phase de construction génèrent un besoin concret de sécurisation des déplacements et d'escorte pour le personnel de direction et les représentants des sponsors.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:52379,https://disclosures.ifc.org/project-detail/SII/52379/asmara-group-zm-dj,nouveau,2026-08-01
2026-08-01,5.5,4.5,6.5,surveiller,indetermine,moyen,IENTC Broadband,"IENTC, S. de R.L. de C.V.",Mexico,Summary of Investment Information (AIP Policy 2012),B - Limited,N-AG - Wholesale Broadband - Terrestrial [Project only],2026-08-07,2026-07-09,entreprise_privee,multi_sites,technicien,longue_ou_residente,moyenne,False,"directeur technique ou ingénieur réseau senior supervisant les déploiements fibre, chef de projet infrastructure télécoms en charge du déploiement multi-sites, techniciens de terrain assurant le tirage et la mise en service des câbles fibre, responsable opérations ou COO basé au siège avec déplacements réguliers sur chantiers","Investissement prive finance par l'IFC (entreprise projet : IENTC, S. de R.L. de C.V.) en Mexico. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique la construction et l'exploitation d'un réseau fibre optique backbone et métro à l'échelle nationale au Mexique, nécessitant des équipes techniques déployées sur de multiples sites de chantier dans des zones potentiellement exposées à la criminalité organisée ou à l'insécurité routière. Les déplacements inter-sites de cadres et techniciens, notamment hors des grands centres urbains, génèrent un besoin réel de sécurisation des déplacements et d'escorte véhicule.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:51657,https://disclosures.ifc.org/project-detail/SII/51657/ientc-broadband,nouveau,2026-08-01
2026-08-01,6.0,5.5,6.5,contacter,indetermine,moyen,Marquardt,Marquardt GmbH,Tunisia,Environmental Documents (AIP Policy 2012),B - Limited,M-CG - Motor Vehicle Parts,,2026-07-06,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeurs de site expatriés issus du groupe industriel allemand, ingénieurs et techniciens spécialisés en mécatronique déployés pour la montée en capacité, superviseurs de chantier d'expansion sur les trois sites industriels, responsables qualité et conformité envoyés par le siège européen, cadres financiers et opérationnels en déplacement régulier entre la Tunisie et l'Europe","Investissement prive finance par l'IFC (entreprise projet : Marquardt GmbH) en Tunisia. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","L'expansion simultanée de trois sites de production industrielle en Tunisie implique la présence durable de cadres et techniciens expatriés européens sur le terrain, générant un besoin réel de sécurisation des déplacements inter-sites et d'escorte pour le personnel de direction. La Tunisie présente un contexte sécuritaire résiduel justifiant une évaluation opérationnelle, notamment pour les mouvements entre zones industrielles et l'aéroport.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:52467,https://disclosures.ifc.org/project-detail/ESRS/52467/marquardt,nouveau,2026-08-01
2026-08-01,6.2,5.9,6.5,contacter,indetermine,fort,Edita Iraq,EDITA FOOD INDUSTRIES S.A.E,"Egypt, Arab Republic of",Environmental Documents (AIP Policy 2012),B - Limited,F-AJ - Packaged Food,,2026-07-02,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeurs de projet expatriés supervisant l'expansion industrielle en Irak, ingénieurs et techniciens spécialisés en installation de lignes de production agroalimentaire, responsables supply chain et logistique en déplacement entre Égypte et Irak, cadres financiers et opérationnels du groupe en mission multi-pays","Investissement prive finance par l'IFC (entreprise projet : EDITA FOOD INDUSTRIES S.A.E) en Egypt, Arab Republic of. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","L'expansion industrielle en Irak avec installation et mise en service de nouvelles lignes de production d'ici 2028 implique des déplacements réguliers et une présence résidente de cadres et techniciens étrangers dans un environnement à risque élevé. Le profil multi-sites Égypte-Irak génère un besoin concret d'escorte, de chauffeurs sécurité et de sécurisation des déplacements terrain sur la durée.",0.82,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:52787,https://disclosures.ifc.org/project-detail/ESRS/52787/edita-iraq,nouveau,2026-08-01
2026-08-01,6.2,6.0,6.5,contacter,indetermine,moyen,Iroda Invest,Iroda Invest LLC,Tajikistan,Environmental Documents (AIP Policy 2012),B - Limited,"F-AA - Grain Processing (Milling, Starch, Flour, Malt)",,2026-07-02,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet expatrié supervisant la construction et la mise en service des installations, ingénieurs spécialisés en génie alimentaire et en installation de lignes de production, techniciens de mise en service détachés par les fournisseurs d'équipements, responsables HSE internationaux mandatés par le bailleur IFC pour le suivi E&S, auditeurs et consultants environnementaux en mission de vérification de conformité, cadres du groupe sponsor en déplacement de supervision stratégique","Investissement prive finance par l'IFC (entreprise projet : Iroda Invest LLC) en Tajikistan. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique la construction et la mise en service de trois installations industrielles agro-alimentaires au Tadjikistan jusqu'en 2026, nécessitant la présence prolongée d'experts internationaux et de techniciens expatriés sur un site industriel actif. Le Tadjikistan présente des contraintes de mobilité et un environnement sécuritaire nécessitant un accompagnement opérationnel pour les déplacements et la protection du personnel étranger.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:51844,https://disclosures.ifc.org/project-detail/ESRS/51844/iroda-invest,nouveau,2026-08-01
2026-08-01,6.2,6.0,6.5,contacter,indetermine,moyen,KFP Bond,KAZFOODPRODUCTS LLP,Kazakhstan,Environmental Documents (AIP Policy 2012),B - Limited,F-AJ - Packaged Food,,2026-06-22,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet expatrie supervisant les travaux d expansion, ingenieurs et techniciens specialises en installation de lignes de production agroalimentaire, responsable HSE international detache sur site, cadres dirigeants du groupe sponsor effectuant des visites de supervision, consultants techniques mandates par l investisseur pour due diligence et suivi E&S","Investissement prive finance par l'IFC (entreprise projet : KAZFOODPRODUCTS LLP) en Kazakhstan. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique des travaux de construction et d installation industrielle sur un site de production a Kostanay, avec une presence probable de cadres et techniciens internationaux pour superviser l expansion et les nouvelles lignes de production. Le Kazakhstan presente un niveau de risque modere necessitant une securisation des deplacements et une protection des personnels expatries, notamment pour les trajets entre la capitale et le site de Kostanay.",0.65,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:50040,https://disclosures.ifc.org/project-detail/ESRS/50040/kfp-bond,nouveau,2026-08-01
2026-08-01,6.2,5.9,6.5,contacter,indetermine,moyen,MuniGuate URP,MUNICIPALITY OF GUATEMALA,Guatemala,Environmental Documents (AIP Policy 2012),B - Limited,W-BF - Municipal Finance - Multiple Sectors [Project only],,2026-06-19,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"ingénieurs spécialisés en traitement des eaux expatriés, superviseurs de chantier infrastructure urbaine, experts en systèmes de mobilité intelligente et trafic, consultants techniques en génie civil et réhabilitation de réseaux, cadres de banque commerciale locale en charge du suivi du prêt couvert, représentants de l'institution financière internationale en mission de supervision","Investissement prive finance par l'IFC (entreprise projet : MUNICIPALITY OF GUATEMALA) en Guatemala. Cible : l'entreprise projet et ses sponsors etrangers, qui deploient cadres et actifs sur zone a risque.","Le projet implique la construction et la réhabilitation d'infrastructures urbaines sur plusieurs sites distincts à Guatemala City, nécessitant la présence physique d'experts internationaux et de superviseurs de chantier sur une durée allant jusqu'à deux ans. Bien que le contexte soit urbain et non isolé, la multiplicité des sites actifs et le profil d'experts étrangers en déplacement dans une capitale d'Amérique centrale à risque modéré génèrent un besoin réel de sécurisation des déplacements et d'escorte ponctuelle.",0.72,claude-sonnet-4-6,True,False,Pending,inconnu,IFC:49032,https://disclosures.ifc.org/project-detail/ESRS/49032/muniguate-urp,nouveau,2026-08-01
