date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,titre,acheteur,pays_execution,type_notice,justification,publication_number,lien_avis,deadline,date_publication,statut_suivi,date_detection
2026-08-18,4.7,4.4,5.0,surveiller,indetermine,Kajeke-Gihanga III hydro-agricultural development project,"Ministry of the Environment, Agriculture and Livestock",BDI,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-10-26 (85 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P518248,https://projects.worldbank.org/en/projects-operations/project-detail/P518248,2034-05-31,2027-10-26,nouveau,2026-08-13
2026-08-18,4.2,4.4,4.0,ignorer,indetermine,FINGROW Tajikistan,State Committee on Investment and State Property Management,TJK,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-07-22 (30 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P512525,https://projects.worldbank.org/en/projects-operations/project-detail/P512525,2032-12-27,2027-07-22,nouveau,2026-08-13
2026-08-18,6.4,6.8,6.0,surveiller,indetermine,Madagascar Agribusiness Development Project,"Direction de la Coordination et du Suivi-Evaluation des Programmes - DCSEP (Ministre de l'Economie et Finance),Ministry of Agriculture and Food Sovereignty (MINISTRE DE L'AGRICULTURE ET DE LA SOUVERAINETE ALIMENTAIRE)",MDG,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-05-27 (150 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517997,https://projects.worldbank.org/en/projects-operations/project-detail/P517997,2032-08-27,2027-05-27,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,Uzbekistan Sustainable Heating Program,"Heat Supply JSC,Ministry of Construction, Housing, and Communal Services,National Agency for Energy Efficiency",UZB,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-04-16 (200 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P513848,https://projects.worldbank.org/en/projects-operations/project-detail/P513848,2031-12-31,2027-04-16,nouveau,2026-08-13
2026-08-18,8.0,10.0,6.0,contacter,indetermine,"Mali Building Abilities, Aspirations, Resilience, and Access to work","Ministère de l'Entreprenariat National, de l'Emploi et de la Formation Professionnelle,Ministère de l'Éducation Nationale",MLI,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-03-31 (120 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P518603,https://projects.worldbank.org/en/projects-operations/project-detail/P518603,,2027-03-31,nouveau,2026-08-13
2026-08-18,6.9,6.8,7.0,contacter,indetermine,Khyber Pakhtunkhwa Clean Air Project,"Climate Change, Forestry, Environment And Wildlife Department Government of Khyber Pakhtunkhwa",PAK,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-03-25 (200 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P512143,https://projects.worldbank.org/en/projects-operations/project-detail/P512143,2033-03-25,2027-03-25,nouveau,2026-08-13
2026-08-18,4.7,4.4,5.0,surveiller,indetermine,Liberia Economic Corridors,Infrastructure Implementing Unit,LBR,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-03-16 (70 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P513497,https://projects.worldbank.org/en/projects-operations/project-detail/P513497,2032-08-26,2027-03-16,nouveau,2026-08-13
2026-08-18,7.0,10.0,4.0,contacter,indetermine,WEF Nexus for Optimizing Use and Reuse of Water Resources,Palestinian Water Authority,PSE,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-03-15 (25 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517180,https://projects.worldbank.org/en/projects-operations/project-detail/P517180,2032-08-31,2027-03-15,nouveau,2026-08-13
2026-08-18,6.2,4.4,8.0,surveiller,indetermine,Roads for Rural Economic Development Project,"ICT Authority,Kenya National Highways Authority,Kenya Rural Roads Authority,National Construction Authority,National Transport and Safety Authority,State Department for Roads",KEN,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-03-12 (600 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P517267,https://projects.worldbank.org/en/projects-operations/project-detail/P517267,2032-03-30,2027-03-12,nouveau,2026-08-13
2026-08-18,4.7,4.4,5.0,surveiller,indetermine,"Mauritania Jobs through Accelerating MSMEs, Skills Development and Capital Access","Central Bank of Mauritania,Ministry of Youth Empowerment, Employment, Sports, and Civic Service (MAJESSC)",MRT,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-03-03 (50 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P518718,https://projects.worldbank.org/en/projects-operations/project-detail/P518718,,2027-03-03,nouveau,2026-08-13
2026-08-18,4.7,4.4,5.0,surveiller,indetermine,CHAD HEALTH SYSTEMS RESILIENCE PROGRAM - SAHIT-NA,Ministry of Public Health and Prevention,TCD,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-03-01 (80 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P518325,https://projects.worldbank.org/en/projects-operations/project-detail/P518325,,2027-03-01,nouveau,2026-08-13
2026-08-18,4.9,6.8,3.0,surveiller,indetermine,Moldova Green Shield: Enhancing Resilience through Ecosystem-based Adaptation,Ministry of Environment,MDA,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-02-25 (10 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P516908,https://projects.worldbank.org/en/projects-operations/project-detail/P516908,2032-02-25,2027-02-25,nouveau,2026-08-13
2026-08-18,6.4,6.8,6.0,surveiller,indetermine,Uzbekistan Risk Mitigation Facility,Ministry of Economy and Finance of The Republic of Uzbekistan,UZB,Projet BM (Pipeline),"Projet BM Pipeline approuve le 2027-02-25 (150 M USD). Signal AMONT : deploiement a venir en amont de l'appel d'offres. Cible : le titulaire qui executera, pas l'agence.",BMP-P513901,https://projects.worldbank.org/en/projects-operations/project-detail/P513901,2032-06-30,2027-02-25,nouveau,2026-08-13
