date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,niveau_opportunite_amarante,titre,acheteur,pays_execution,pays_acheteur,type_client,type_mobilite,profil_personnes_exposees,duree_estimee,accessibilite_commerciale,securite_existante_detectee,profils_acteurs_probables,justification,confiance,modele,raffine,divergence,source_mode_b,pays_execution_incertitude,publication_number,lien_avis,deadline,date_publication,statut_suivi,valeur_estimee,date_detection
2026-06-26,4.5,5.5,3.5,surveiller,indetermine,faible,Serbia – Consulting services for water-supply and waste-water other than for construction – Technical Assistance for river basin and flood risk plan,"['European Union, represented by the European Commission on behalf of and for the account of Serbia']","SRB, RSZZZ, SRB, SRB",SRB,institution_ue_onu,multi_sites,expert_international,longue_ou_residente,difficile,False,"Bureau d'études en ingénierie hydraulique et gestion des ressources en eau, Consortium d'experts européens en planification de bassins versants, Cabinet de conseil en infrastructure et environnement","Assistance technique en Serbie (pays stable, UE candidate) pour études hydrauliques et planification de risques. Déploiement d'experts internationaux probable mais profil de risque sûreté très faible : zone urbaine/administrative, pas de zone isolée ou à risque identifiée, pas de mobilité terrain intensive. Besoin opérationnel de protection rapprochée ou escorte hautement improbable.",0.75,claude-haiku-4-5-20251001,False,False,False,False,403870-2026,https://ted.europa.eu/en/notice/403870-2026/html,,2026-06-12+02:00,nouveau,,
2026-06-30,3.2,0.9,5.5,ignorer,indetermine,faible,France – Technical assistance services – Service d’assistance à la gestion de projet pour OKACOM et le Fonds CORB dans le cadre du projet soutenant la structuration du Fonds CORB,Agence Française du développement,"BWA, BWA",FRA,bailleur_donateur,capitale,expert_international,longue_ou_residente,difficile,False,"Cabinet de conseil en gestion de projet, Bureau d'études spécialisé en gouvernance de fonds, Consortium d'expertise technique en structuration financière","Mission de gestion de projet et structuration de fonds basée principalement en capitale (Gaborone), sans mobilité terrain significative ni déploiement multi-sites. Profil d'expert résident en environnement urbain sécurisé, sans besoin d'escorte, CPO ou véhicule blindé. Marché institutionnel AFD avec accès commercial restreint.",0.85,claude-haiku-4-5-20251001,False,False,False,False,437565-2026,https://ted.europa.eu/en/notice/437565-2026/html,,2026-06-25+02:00,nouveau,,
2026-06-28,1.6,1.3,2.0,ignorer,immediate,faible,North Macedonia – Electricity – Electricity market power supply for the needs of Ss. Cyril and Methodius University in Skopje (UKIM),Ss. Cyril and Methodius University Skopje - Rector’s office,"anyw, MK008, MKD",MKD,etat_administration_locale,aucune,aucun,indetermine,difficile,False,"fournisseur d'électricité ou opérateur de marché énergétique, gestionnaire de réseau électrique national ou régional","Marché de fourniture d'électricité à une université, sans déploiement de personnel étranger sur le terrain. Aucun besoin d'escorte, protection rapprochée ou sécurisation de déplacements. Acheteur local (université macédonienne), activité purement administrative et logistique.",0.95,claude-haiku-4-5-20251001,False,False,False,False,408979-2026,https://ted.europa.eu/en/notice/408979-2026/html,2026-07-05T15:30:00+02:00,2026-06-15+02:00,nouveau,,
2026-06-28,1.6,1.3,2.0,ignorer,indetermine,faible,North Macedonia – Steel – Procurement of toothed parts,FOD DOOEL Novaci,"MK003, MKD, MK003, MKD",MKD,etat_administration_locale,aucune,aucun,indetermine,difficile,False,"fournisseur de pièces métalliques ou de composants industriels, distributeur de pièces détachées acier","Marché de fourniture de pièces détachées acier (toothed parts) auprès d'une administration locale macédonienne. Aucun déploiement de personnel étranger, aucune mobilité terrain, aucun profil d'expert ou de cadre exposé. Besoin purement logistique et commercial, sans dimension sûreté opérationnelle.",0.95,claude-haiku-4-5-20251001,False,False,False,False,409074-2026,https://ted.europa.eu/en/notice/409074-2026/html,2026-06-23T15:30:00+02:00,2026-06-15+02:00,nouveau,,
2026-06-30,2.5,0.9,4.0,ignorer,indetermine,faible,"France – Feasibility study, advisory service, analysis – AFD - AFD - Accompagnement du dispositif de formation professionnelle égyptien dans le secteur du ferroviaire / Rail skills preparatory project",Agence Française de Développement,"EGY, EGY",FRA,bailleur_donateur,aucune,aucun,courte_ponctuelle,difficile,False,"cabinet de conseil en développement des ressources humaines, bureau d'études spécialisé en formation professionnelle et secteur ferroviaire, organisme de coopération technique international","Marché de faisabilité et d'étude (advisory service) centré sur le dialogue institutionnel et la formulation de projet, sans déploiement physique régulier de personnel exposé. Aucune mention de mobilité terrain, d'escorte, de protection ou de déplacements sécurisés. Besoin purement documentaire et consultatif, pas opérationnel.",0.95,claude-haiku-4-5-20251001,False,False,False,False,410212-2026,https://ted.europa.eu/en/notice/410212-2026/html,,2026-06-16+02:00,nouveau,,
2026-06-30,1.9,1.9,2.0,ignorer,indetermine,faible,Moldova – Telecommunications equipment – Telecommunications equipment,Information Technology and Cyber Security Service,"MDA, MDA",MDA,etat_administration_locale,aucune,aucun,indetermine,difficile,False,"fournisseur de matériel de télécommunications, intégrateur de solutions réseau et cybersécurité, constructeur d'équipements NGFW","Marché de fourniture d'équipements de télécommunications (NGFW) en Moldavie. Aucune indication de déploiement de personnel étranger sur le terrain, aucune mobilité terrain, aucune présence physique d'experts ou de cadres exposés. Besoin purement matériel et logistique, sans composante opérationnelle de sûreté (escorte, protection rapprochée, sécurisation de déplacements).",0.95,claude-haiku-4-5-20251001,False,False,False,False,412225-2026,https://ted.europa.eu/en/notice/412225-2026/html,,2026-06-16+02:00,nouveau,,
2026-06-30,4.5,4.4,4.5,surveiller,indetermine,faible,Jordan – Water desalination services – Technical Assistance to Support the Project Management Unit for the Aqaba–Amman Water Desalination and Conveyance Project (AAWDCP),"European Union, represented by the European Commission on behalf of and for the account of Jordan","JOR, anyw",JOR,institution_ue_onu,capitale,expert_international,longue_ou_residente,difficile,False,"Consortium d'ingénierie spécialisé en eau et infrastructures hydrauliques, Bureau d'études international avec expertise en gestion de projet et renforcement institutionnel, Opérateur technique international avec expérience en assistance technique auprès d'unités de gestion de projet","Bien que le déploiement soit réel et résidentiel (équipe d'experts embarqués en continu), la mobilité reste concentrée en capitale (Amman, siège du NCPMU) avec déplacements limités. Le profil de risque sûreté est faible : experts basés au bureau, travail administratif et de coordination, pas de présence terrain régulière en zone à risque. Aucun besoin apparent d'escorte, CPO ou véhicule blindé.",0.75,claude-haiku-4-5-20251001,False,False,False,False,412716-2026,https://ted.europa.eu/en/notice/412716-2026/html,,2026-06-16+02:00,nouveau,,
2026-06-30,2.2,0.4,4.0,ignorer,indetermine,faible,Denmark – Evaluation consultancy services – Evaluation of the African Guarantee Fund and Denmark’s contribution,Ministry of Foreign Affairs of Denmark,"KEN, CIV, KEN, CIV",DNK,bailleur_donateur,aucune,aucun,courte_ponctuelle,difficile,False,"cabinet de conseil en évaluation et apprentissage institutionnel, bureau d'études spécialisé en finance de développement et impact SME, consortium académique ou de recherche en développement international","Marché d'évaluation documentaire et institutionnelle d'un fonds de garantie africain. Aucune indication de déploiement physique régulier de personnel étranger sur le terrain ; travail centré sur analyse de données, rapports, et documentation de résultats. Pas de besoin d'escorte, protection rapprochée, ou sécurisation de déplacements opérationnels.",0.92,claude-haiku-4-5-20251001,False,False,False,False,413503-2026,https://ted.europa.eu/en/notice/413503-2026/html,,2026-06-16+02:00,nouveau,,
2026-06-30,2.8,3.6,2.0,ignorer,indetermine,faible,"Serbia – Energy-management services – Selection of a private partner and award of a public-private partnership contract for the replacement, rationalization and maintenance of part of the public lighting system by implementing energy saving measures in the territory of the city of Šabac",City of Šabac,"RS213, SRB, RS213, SRB",SRB,etat_administration_locale,chantier,technicien,longue_ou_residente,difficile,False,"consortium d'ingénierie énergétique européen ou régional, opérateur de services d'éclairage public avec appui technique étranger, bureau d'études en efficacité énergétique","Bien que le marché implique un déploiement physique régulier sur des chantiers d'infrastructure urbaine (remplacement et maintenance d'éclairage public), le contexte est une ville serbe de taille moyenne en zone urbaine sécurisée, sans indication de risque sûreté élevé. L'acheteur est une administration locale, et aucune mention de besoin de protection rapprochée, escorte ou sécurisation de déplacements. Le profil de risque ne justifie probablement pas une prestation opérationnelle Amarante.",0.75,claude-haiku-4-5-20251001,False,False,False,False,415425-2026,https://ted.europa.eu/en/notice/415425-2026/html,,2026-06-17+02:00,nouveau,,
2026-06-30,4.8,4.0,5.5,surveiller,indetermine,faible,France – Technical assistance services – Provision of Institutional Expert Services for the Coordination and Monitoring of the Institutional Support Programme for the Sanitation and Treated Wastewater Reuse Sectors in Palestine (WaDIS Fourniture de service d’un.e expert.e institutionnel.le pour une ,Agence Française de Développement,"PSE, PSE",FRA,bailleur_donateur,capitale,expert_international,longue_ou_residente,difficile,False,"consultant individuel ou petit cabinet de conseil en gestion de programme, expert en coordination institutionnelle et suivi de projets eau-assainissement, bureau d'études spécialisé en assistance technique aux secteurs eau et assainissement","Mission d'expert résident basée principalement en capitale (Ramallah ou zone urbaine sécurisée) pour coordination et suivi administratif. Profil de mobilité très limité (réunions institutionnelles, bureaux), sans déplacements terrain réguliers en zones à risque. Aucun besoin d'escorte, CPO ou véhicule sécurisé identifié. Marché institutionnel AFD avec processus verrouillé et sécurité gérée en interne.",0.85,claude-haiku-4-5-20251001,False,False,False,False,415603-2026,https://ted.europa.eu/en/notice/415603-2026/html,,2026-06-17+02:00,nouveau,,
