entreprise,segment,domaine,priorite_socle,justification_priorite,moteur_deploiement_terrain,zones_typiques_A_VALIDER,angle_contact,statut_veille,dernier_signal,source_signal
Dassault Aviation,Prime,Aéronautique de combat,Haute,"Exposition zones à risque (moyen-orient, inde, asie du se) → Haute. Présence terrain durable.",Formateurs pilotes + MCO Rafale sur base client,"Moyen-Orient, Inde, Asie du SE, Balkans",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Thales,Prime,Électronique / C4ISR / radars,Haute,Exposition zones à risque (mondial) → Haute. Présence terrain durable.,Installation + formation systèmes sur site,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
MBDA,Prime,Missiles,Haute,"Exposition zones à risque (moyen-orient, asie) → Haute. Présence terrain durable.",Essais/tirs + intégration en zone client,"Moyen-Orient, Asie, Europe",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
KNDS France (ex-Nexter),Prime,Terrestre / artillerie (Caesar),Haute,"Exposition zones à risque (afrique, moyen-orient) → Haute.",Livraison + formation équipages + MCO,"Afrique, Moyen-Orient, Europe Est",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Naval Group,Prime,Naval / sous-marins,Haute,"Exposition zones à risque (egypte, eau, inde) → Haute. Présence terrain durable.",Transfert techno + mise en service sur chantier client,"Inde, Égypte, Brésil, EAU",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Airbus Defence and Space,Prime,Aéronautique / spatial,Haute,Exposition zones à risque (mondial) → Haute. Présence terrain durable.,Formation + soutien flottes à l étranger,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Airbus Helicopters,Prime,Hélicoptères,Haute,Exposition zones à risque (mondial) → Haute. Présence terrain durable.,MCO + formation sur base client,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Safran Electronics & Defense,Prime,Optronique / navigation / drones,Haute,Exposition zones à risque (mondial) → Haute. Présence terrain durable.,Installation optronique + soutien sur site,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Arquus,Prime,Véhicules blindés,Haute,"Exposition zones à risque (afrique, moyen-orient) → Haute.",Livraison + essais + formation en zone client,"Afrique, Moyen-Orient",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
ArianeGroup,Prime,Missiles balistiques / spatial,Basse,Zones à faible risque (Europe/Amérique du Nord) → Basse. Présence terrain durable.,Essais + soutien programmes sensibles,"France, Guyane",Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
Thales Alenia Space,Prime,Spatial,Moyenne,Exposition zones à risque (mondial) → Moyenne. Pas de présence terrain déclarée → plafonné.,Missions techniques ponctuelles,Mondial,Directeur sûreté / Directeur export / Responsable MCO ou déploiement,à surveiller,,
