date_maj,statut,nom,project_id_propose,iso3,secteur,phase,confiance,motifs,nb_signaux,nb_sources,montant_musd,acteurs,premiere_detection,derniere_maj,sources,signaux_json
2026-08-25,promu,Karachi Mobility Project,KARACHIMOBILITY_PAK,PAK,transport,FUNDING_APPROVED,100,source officielle : Banque Mondiale (projets) (Banque de developpement) · 8 signal(aux) · 6 source(s) distincte(s) · poids de preuve 2.95 · confiance LLM 68% · phase identifiee (FUNDING_APPROVED) · 4 acteur(s),8,6,158.0,"world bank, sindh mass transit authority, project implementation unit, karachi water and sewerage services",2026-07-01,2026-08-24,"BM, BMP, businessrecorder, theexpresstribune, worldbankblogs, worldbankgroup","[{""titre"": ""Karachi Mobility Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P512367"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Procurement of Package 5: Lot-1 : Construction of Road Corridor and BRT Infrastructure, Segments 5, 6 &7 (From CH.0+000 to CH. 3+875). Lot -2 : Construction of Road Corridor and BRT Infrastructure [Segments 4 & 5 (From CH. 3+875 to CH. 7+570.891), KMP — Karachi Mobility Project"", ""date"": ""2026-07-13"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455994"", ""phase"": ""EPC_PROCUREMENT""}, {""titre"": ""K-IV Augmentation Works - Laying of MS Pipelines (Lot 1-Lot 4) — Second Karachi Water and Sewerage Services Improvement Project (KWSSIP-2)"", ""date"": ""2026-08-13"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00459378"", ""phase"": ""EPC_PROCUREMENT""}, {""titre"": ""Hiring of Director Procurement & Contracts for Project Management Team [PMT]/ Project Implementation Unit [PIU] under Karachi Mobility Project [KMP] Yellow Line BRTs Corridor — Karachi Mobility Project"", ""date"": ""2026-07-01"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00452099"", ""phase"": ""CONSTRUCTION""}, {""titre"": ""Event | International Roadshow/ Early Market Engagement for Karachi Mobility Project - World Bank Group"", ""date"": ""2025-08-11"", ""lien"": ""https://news.google.com/rss/articles/CBMivwFBVV95cUxNM3hiQUgzbE1RZ2dkSlBiaFZLeUJTZVpfbUtNTG1JUmpqakZfemtyVmFtLTluZkIyOE45MDdrbS10ZG9wZXhzdm04VWRWanBJbjFNMUR2M3JTTFpKYXE0YXdpXzZKUFBBaU9xWHJIRnA3dDczMXJhcDZUbEpRaUE0S2xSSkxQbWltRFRHOWk5d21TMHNnMWI3MzF0bHZ4X1daUkNiRjVmdE1SX0hYenVXWkRuLUg4ZVZKU0JJb2l2aw?oc=5"", ""phase"": """"}, {""titre"": ""Improving mobility and jobs for women: The case of Karachi - World Bank Blogs"", ""date"": ""2025-03-05"", ""lien"": ""https://news.google.com/rss/articles/CBMisgFBVV95cUxObUJVaEZwZDEtUzBjUkZRWVEzbzRJbTE4ajg4d1NUQURBSEFQVHVQVHF1a0lqOV9yTjBYbkQxTXhibW9GTUdxaFVNU2V6SXZ2azRORkJTQWdqX3g3YmJQY1FlQlh6b1JDWmo0c2Fxb3hHQnJYRTRveEJiQm1rRU0zZ2U2SzhKSzRPRWRvc2tDQlQ1aGdWNExuWExJQ3hneTlhbWFaM3c3bGFxRFVxUGxJdGpR?oc=5"", ""phase"": """"}, {""titre"": ""$382m ‘Karachi Mobility Project’: WB rates implementation progress as ‘moderately unsatisfactory’ - Business Recorder"", ""date"": ""2023-12-31"", ""lien"": ""https://news.google.com/rss/articles/CBMiywFBVV95cUxOVUtRX01OWUdTSDVRMlFZTEY1cHJlSEdRSGRNMkNNdVU1YWNhckl4Y3MyV010bk1LcXIwRTU3UUNiMUNxSVlMSVFwRjZfTmxxV3BTSy1aMjdXT2ExdU41UndGRVFTUzcydWw1MzJaMzhicEpmOEFUT1pUbUhWY3BEVEJuc0tWeVJjaFUtb0phMmhubExZSGZ1MEVzVGxGUmlBU3lTOEp6SXl3UnFvT3B0Zk1xT3BCcU9TQXd6MnFXeDBYeW9HeVpTSllIWdIBVkFVX3lxTE1RQ2pnaTlsYTFtUVVOeU5aa3BRd25RTG50T1hTb3l1S0dzQW15cTZ6WU5wLTJ6TzluUEFKX0ZHaTVsNm5GekVWS2VEcGJSdjBKcFpySkhB?oc=5"", ""phase"": """"}, {""titre"": ""Mobility in an unequal city - The Express Tribune"", ""date"": ""2024-01-14"", ""lien"": ""https://news.google.com/rss/articles/CBMickFVX3lxTE9QQ2F5UFJvOTQ1REMtTG4zWTd5Zm9nRGVqTWlFVmRjVVpabXQ1aGRZbVJNMURqdmIzRl85cm05LXRNZFgxTlZhSzM0QlQwVFBiMHpwNzY2czRRS1czSHlSSFNncGlfT2hja3hTenRsa0tVQdIBekFVX3lxTE0xal9Kb3B4U2NsUU9GRjhhWV96VnRHNTh2Zk00TDB5VGRPTEs2dC1qNmVDRVNCT2N0ZkkyVFBhSlpITDFuNEJFMHJXdkJOLUxWbVJsR05TUkNKZS1LYTZGaVJNd1R4YVJ3ZU9tcGNpS1BEVlFjZjU0MC13?oc=5"", ""phase"": """"}]"
2026-08-25,promu,Middle Corridor Development,MIDDLE_KAZ,KAZ,transport,FUNDING_APPROVED,100,source officielle : Banque Mondiale (projets) (Banque de developpement) · 8 signal(aux) · 6 source(s) distincte(s) · poids de preuve 3.35 · confiance LLM 68% · phase identifiee (FUNDING_APPROVED) · 2 acteur(s),8,6,0,"kazakhstan temir zholy jsc, world bank",2026-08-24,2026-08-24,"BMP, news.google.com, qazinform, theastanatimes, thenationalinterest, trendaz","[{""titre"": ""Transforming Rail and Connectivity in Kazakhstan (Middle Corridor Development)"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P512386"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Kazakhstan’s Bold Bid for Middle Power Status - The National Interest"", ""date"": ""2026-06-24"", ""lien"": ""https://news.google.com/rss/articles/CBMinwFBVV95cUxQWUpGeGM2MDR0VEt5MllFR1lSc3RXVFlndkNsdEtoWDZWWEdaUDNNTzc2ZlhURk1jQ29YZlZlM193T2dKZTNaMW9KVnJyVVJQWHJER3N4RXZTWmJLVU1oN3hmN1Z2QmpqWTVJdVhPcno1c2NCUmRpLTVwb21Fc3ktOEtLNFdPTFJlQVFVTGxzTVFnM2tycWNoZVNRTnVxZnc?oc=5"", ""phase"": """"}, {""titre"": ""Kazakhstan: Transforming Rail Connectivity in Kazakhstan (Middle Corridor Development) – Phase I - Asian Infrastructure Investment Bank (AIIB)"", ""date"": ""2026-03-25"", ""lien"": ""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPTm90SlRHb3U3LWlvVExCX0pOazhBcHBZSnIzZEVmSW5DRHdSYUhsRU0wRDFkLVFxUE12TlB3WU15QnV1WUxESEs5V25MR0FzYXQ2eFZsQmtDd2ttN0s0eUV1LWhlRUtVN085YmVrOG1OcWlPajdRdDk3YWJvVmYzVUE5Q01HekZBbmo1UFVkZHMzNk9YcjFQWnpGanZrR0Zldko2UG91d3MzWUNQQVBxWGV3VlFielB4Zzl3QWhSam9sQWVhS05mSzFzQ1I1cVM1TVFpUm9YN1FnRGM?oc=5"", ""phase"": """"}, {""titre"": ""Kazakhstan, EU expand partnership on Middle Corridor development - Qazinform"", ""date"": ""2026-06-22"", ""lien"": ""https://news.google.com/rss/articles/CBMingFBVV95cUxNRmRWdFAtUzVrNnN1OHB6Vms0dEtJWDEyUG45VlplZDNkMXZUTEJ0OWh6NVdmWWpNM3BkX3BkaUNXYVhZNmg4aXl6U0I0cldNZEhwbUlsWUNhZm9yUk1RM0U0c1RJLW1IamFwVEJZZ3RMNEtQNURjSjZFbnBvOFI0U3QxeERBUW9HVUMxdERwaVR6bTh2ekVrSERtSzFrQdIBngFBVV95cUxPZTJnNkUwU0dWQ29fSnVBaG9jWXVhY2s0ajVGbXJzMzhyeVdmRUhZbVRBVHRkODViRGNaelBnSk43cUxGeUFPMTBxa1dkTU5YeE5rcmdXaEhEa3VoMkRTYXlUTGNxM3FQcWwyUGFOZXFLYjBUUVJxVjVzU1IzS1E2Qk1qQXU4Wkk1dVJYNHkyTlpPUzA5cUNHekZlcDJ0dw?oc=5"", ""phase"": """"}, {""titre"": ""News Digest: Foreign Media on Kazakhstan’s Investment Push, Middle Corridor, and More - The Astana Times"", ""date"": ""2026-04-17"", ""lien"": ""https://news.google.com/rss/articles/CBMitAFBVV95cUxQREVYVjEydTlRWDFLQm5jNEIzQ0NPdXBVUjAxLW5MTnBBZm43ZHlGUDdHVHpmQTRkUUZQdFQ5ZTdDU0FwMTM5QjdOVDgyWm5HcFhUS0JScmRna3VES0tYdVZmalVsMml2R3FGeXJsU0tDeWdxdlhkYlZiTS1FdkpZMmFCSG1iX3o5b1hOUGg3dzNkaFJVRkFZSGwya0VxSDZZNXNkSGQxN3hMYWEwUFgyRGlUTVg?oc=5"", ""phase"": """"}, {""titre"": ""Kazakhstan, EU discuss development of Middle Corridor - trend.az"", ""date"": ""2026-06-22"", ""lien"": ""https://news.google.com/rss/articles/CBMiX0FVX3lxTE16MEdBS0ljQjFFeGZFN3BoMnNhZGVxM2xaOVJRdFgycG9oNDVXR2o5T1VGYXgzcndzdGV1SlM0cFVKaGcxU1ZyNUN1M0FtNFI5TFJxcTJ1Sl80dzRveDk0?oc=5"", ""phase"": """"}, {""titre"": ""Kazakhstan plans to boost Middle Corridor's capacity to 10 million tons by 2030 - minister - trend.az"", ""date"": ""2026-05-28"", ""lien"": ""https://news.google.com/rss/articles/CBMiVEFVX3lxTE00V0V4VW5JQXRxOHh3MWtTQ3hKc1pYZVcxcWo0TFlZRHAyTHE4MTZ3T29YM3ZTeTJrejRTSF9wbmhOZndGczNRbnd3Mm5TZm5KcndWcQ?oc=5"", ""phase"": """"}, {""titre"": ""ADB holds talks on financing Middle Corridor projects in Kazakhstan — Utsav Kumar (Exclusive) - trend.az"", ""date"": ""2026-06-26"", ""lien"": ""https://news.google.com/rss/articles/CBMiVEFVX3lxTFBhUXhZVWMyRmNsU1VzMk1malUtVDBnUS1jRW1Qa2J5NXM4VDBKX2RWTm4tNzVaUFlHTElIMm9za2VEckpaeFBSaGpnOTkzMkFVT2JIWA?oc=5"", ""phase"": """"}]"
2026-08-25,candidat,Dakar Sustainable Urban Mobility Project,DAKARSUSTAINABLEURBANMOB_SEN,SEN,transport,FUNDING_APPROVED,97,"source officielle : Banque Mondiale (projets) (Banque de developpement), Banque africaine de developpement (Banque de developpement) · 2 signal(aux) · 2 source(s) distincte(s) · poids de preuve 1.90 · confiance LLM 67% · phase identifiee (FUNDING_APPROVED) · 3 acteur(s)",2,2,100.0,"conseil exécutif des transports urbains durables, world bank, african development bank",2026-07-13,2026-08-24,"AFDB, BMP","[{""titre"": ""Dakar Sustainable Urban Mobility Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P507844"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""PPM - Sénégal - Projet d&#039;amélioration des corridors routiers Bissau - Dakar - phase 1: Aménagement de la route Farim - Tanaff - Sandiniéri"", ""date"": ""2026-07-13"", ""lien"": ""https://www.afdb.org/en/documents/ppm-senegal-projet-damelioration-des-corridors-routiers-bissau-dakar-phase-1-amenagement-de-la-route-farim-tanaff-sandinieri"", ""phase"": ""CONSULTANT_SELECTION""}]"
2026-08-25,candidat,[sans nom] BFA energie · Burkina Faso,SANSNOMBFAENERGIEBURKINA_BFA,BFA,energie,FUNDING_APPROVED,93,5 signal(aux) · 5 source(s) distincte(s) · poids de preuve 2.65 · confiance LLM 51% · phase identifiee (FUNDING_APPROVED) · 1 acteur(s),5,5,300.0,africa finance corporation,2026-07-08,2026-07-13,"africafinancecorporation, agenceecofin, businessinsiderafrica, dabafinance, sikafinance","[{""titre"": ""Burkina Faso : 60 millions USD pour financer une centrale électrique et rompre avec la dépendance - AGENCE ECOFIN"", ""date"": ""2026-07-09"", ""lien"": ""https://news.google.com/rss/articles/CBMi7wFBVV95cUxQT2ZackNrZzJzZVY4dlk3NU4xbjRLM3FWdnEzM2ZDRG9JUkpfUFc4X2E5QnRLZFZDS3NpaVk3cnRHaVhlR3hnaEw4Vm9wb1J3TUlpd1ZONF9IeTI0NU9aazFDanpERzhDaXAzdUIwVk9qbHJTdzhFNFJJM1pHNll4ZVhzRnMybG92aVdUYUFEallRMmlfOUhSVWhWeFM3YXREVWl3cVluV2NTZ3l0bWFOdkszTFhEUEx6NXV3MTdXcVFPWFRsaUxzOUNLY3lUU1F4aE1WTkR4NFEyMFN6NVZ4UXRzejRKaFR4SHpoQkJyRQ?oc=5"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""L'AFC s'engage à investir 300 millions de dollars dans la plus grande centrale électrique du Burkina Faso - Dabafinance"", ""date"": ""2026-07-13"", ""lien"": ""https://news.google.com/rss/articles/CBMiggFBVV95cUxQS0FzVkw1RGVQeDRQR0g0Rl9Ja2Q5RVRzOEVJSnZfNU5YeEdsZzBCUDd4RXZqTWF0M3hKdWlzUXNVS0RSLVYxUUxjOE5LeEJmcmMtWWt3Yi1jdXJubXFsU01uTGdycldnZEJmM3hUV3ZJNjAtRzFmdzZFckR3VnJFY01B?oc=5"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Burkina : L’AFC décaisse une 1ère tranche de 60 millions USD pour la réalisation de la plus grande centrale électrique - Sika Finance"", ""date"": ""2026-07-11"", ""lien"": ""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQbkhYT3lFaGltcHdUbGxnZEVLX2ctbXAxUWVWYnlzNGhRTU5aZ2p1T0pNa3d6b2tqUkd5cmZacUZvSEJVZTJ6SlNqaWpaWGxHX09UeVhNZExJc25xZEtweW1iZWx5bWduZXVJOEwycDVHbF9JcTY2SWp6dkZkVVI4alh3QUtHdUpTUWRPM2JHOFR1X2pfaU5uTEJpTUViYTY1U2VMU0x5RFBHVDZ2QVFKX243aUJtVlBHUTRSb1lvSzNpbEhOYlhtZ29ZMFdBV3Z1blpEWkJnV25mQk9SNlV5bkp6Wm12enZVeDNiZFB3?oc=5"", ""phase"": ""CONSTRUCTION""}, {""titre"": ""AFC Financing Supports Largest Power Plant in Burkina Faso to Tackle One of World’s Biggest Electricity Access Gaps - Africa Finance Corporation"", ""date"": ""2026-07-08"", ""lien"": ""https://news.google.com/rss/articles/CBMi9AFBVV95cUxQRklVcHZ1bnBHOERoSTJLbmNxSXBRb2JEMkd6SUljN0haODJXSjh2UGd1cVIzS0JXajNjNnZuVHhLMnFaUUxzOHVobm04ajQwZGhPb1I2Z0VES204VlFjUUNhUTYxNGlHcHhjazdycEQycXBXS05aSTBlQzRGSTdiajF4WnVRbmY5eklESEhiUGxNWmx5VURMWll6TXE5SlV4TGNyTXRTRDV0enhGbzJZMTEwa3lYUHZ5a0UzRkhGM2lxQVlJNk5qLVdodGRJS1FfOVo2Y0Q2M0tWbGNaaU5hNm1jYTNRenlSY0V4RmIxVEZzajBH?oc=5"", ""phase"": ""CONSTRUCTION""}, {""titre"": ""Burkina Faso turns to Turkish developer for largest-ever $300 million power project in energy independence push - Business Insider Africa"", ""date"": ""2026-07-09"", ""lien"": ""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPT3p1WFU3UDNvVzVLUl9qMllBQVplZDRjeGFTZTBnZVRPMk10bFhwNTNraTU0UEJYVGFhSEM3SFNBdk14Ukl5RC1jZW9BODRhSHNJa1VyaVdWcnd5NWtnR3ZJQm5ld1hDT2pMb2JMRjM0UWh0VGEwNVlKT2RaTm40NXFobU1HV0V5b1daU1p5dTRuSDl6WWhBa3laX0d2R2NnU2RSZVBlXzJ3cVJEUzRvQTZQbEpxeWFDWUtseGpOUE5PSGdzME1iTWJOcElhdXNfVGI0?oc=5"", ""phase"": ""CONSTRUCTION""}]"
2026-08-25,candidat,South Sudan Energy Sector Access and Institutional Strengthening Project,SOUTHSUDANENERGYSECTORAC_SSD,SSD,energie,PRE_FEASIBILITY,92,"source officielle : Banque Mondiale (projets) (Banque de developpement), Banque africaine de developpement (Banque de developpement) · 2 signal(aux) · 2 source(s) distincte(s) · poids de preuve 1.90 · confiance LLM 68% · phase identifiee (PRE_FEASIBILITY) · 2 acteur(s)",2,2,0,"ministry of energy and dams, african development bank",2026-06-30,2026-07-16,"AFDB, BM","[{""titre"": ""Individual Consultant to Prepare Resettlement Action Plan for South Sudan Energy Sector Access and Institutional Strengthening Project - Readvertisement — South Sudan Energy Sector Access and Institutional Strengthening Project"", ""date"": ""2026-06-30"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00448342"", ""phase"": ""CONSULTANT_SELECTION""}, {""titre"": ""EOI - South Sudan - Review and Updating of Technical Studies and Design for the Kapoeta-Boma-Raad Road (280 Km)- South Sudan- Ethiopia - Djibouti Transport Corridor Project-Phase II"", ""date"": ""2026-07-16"", ""lien"": ""https://www.afdb.org/en/documents/eoi-south-sudan-review-and-updating-technical-studies-and-design-kapoeta-boma-raad-road-280-km-south-sudan-ethiopia-djibouti-transport-corridor-project-phase-ii"", ""phase"": ""PRE_FEASIBILITY""}]"
2026-08-25,promu,Eastern Corridor Road Development Programme Phase 1,EASTERNROAD1_GHA,GHA,transport,FUNDING_APPROVED,83,source officielle : Banque africaine de developpement (Banque de developpement) · 2 signal(aux) · 2 source(s) distincte(s) · poids de preuve 1.45 · confiance LLM 70% · phase identifiee (FUNDING_APPROVED) · 1 acteur(s),2,2,0,african development bank,2026-07-16,2026-07-16,"AFDB, ghanaiantimes","[{""titre"": ""PPM - Ghana - Additional Financing to Eastern Corridor Road Development Programme Phase 1 (Simplified) - ECRDP"", ""date"": ""2026-07-16"", ""lien"": ""https://www.afdb.org/en/documents/ppm-ghana-additional-financing-eastern-corridor-road-development-programme-phase-1-simplified-ecrdp"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Ghana, AfDB sign $81.67m loan agreement to finance Eastern corridor road phase 1 - Ghanaian Times"", ""date"": ""2020-02-06"", ""lien"": ""https://news.google.com/rss/articles/CBMirAFBVV95cUxPUjhiaDNySVVlNkw4LXNiRnJmM3ptNG1UQTNuX1FBeWhYUU1vNTVkVVNubzltejVHYXk1T215YzJrLWh4RG9UU09xLUxTZ1BoX2JCUHlyZHA1V3R0SmRMeG5hRndrT3JLT0wtX0tCdDNCMDNXclRITlIyVVg2UXRyUmxnQjVCVlBySGpVdlQxdFFNcTZMMk9QNnZXYmQzRm9KWi12T1hYSmNmMXZG?oc=5"", ""phase"": """"}]"
2026-08-25,candidat,Khyber Pakhtunkhwa Rural Accessibility Project,KHYBERPAKHTUNKHWARURALAC_PAK,PAK,infrastructure,FUNDING_APPROVED,79,source officielle : Banque Mondiale (projets) (Banque de developpement) · 3 signal(aux) · 2 source(s) distincte(s) · poids de preuve 0.95 · confiance LLM 63% · phase identifiee (FUNDING_APPROVED) · 3 acteur(s),3,2,78.0,"world bank, kp sustainable development unit, planning and development department",2026-07-13,2026-08-24,"BM, BMP","[{""titre"": ""Khyber Pakhtunkhwa Rural Accessibility Project (KPRAP)"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P508791"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Khyber Pakhtunkhwa Integrated Tourism Development Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P508551"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Procurement of Small work for the Conservation, Preservation, Restoration, and Development work at Jamrud Fort District, Khyber — Khyber Pass Economic Corridor Project"", ""date"": ""2026-07-13"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455376"", ""phase"": ""EPC_PROCUREMENT""}]"
2026-08-25,candidat,Energy Access and Quality Improvement Project,ENERGYACCESSQUALITYIMPRO_RWA,RWA,energie,FUNDING_APPROVED,76,source officielle : Banque Mondiale (projets) (Banque de developpement) · 3 signal(aux) · 1 source(s) distincte(s) · poids de preuve 0.95 · confiance LLM 51% · phase identifiee (FUNDING_APPROVED) · 5 acteur(s),3,1,288.0,"world bank, city of kigali, development bank of rwanda, ministry in charge of emergency management, rwanda transport development agency",2026-08-24,2026-08-24,BMP,"[{""titre"": ""Rwanda - Energy Access and Quality Improvement Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P513031"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Rwanda Urban Mobility Improvement Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P176885"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Socio-economic Inclusion of Refugees & Host Communities in Rwanda Project Phase II"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P509677"", ""phase"": ""FUNDING_APPROVED""}]"
2026-08-25,candidat,Senegal Energy Access Scale Up Project,SENEGALENERGYACCESSSCALE_SEN,SEN,energie,FUNDING_APPROVED,76,source officielle : Banque Mondiale (projets) (Banque de developpement) · 2 signal(aux) · 1 source(s) distincte(s) · poids de preuve 0.95 · confiance LLM 71% · phase identifiee (FUNDING_APPROVED) · 1 acteur(s),2,1,100.0,world bank,2026-08-24,2026-08-24,BMP,"[{""titre"": ""Senegal Energy Access Scale Up Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P515030"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Senegal Energy Access Scale Up Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P511965"", ""phase"": ""FUNDING_APPROVED""}]"
2026-08-25,candidat,Madagascar National Water Project,MADAGASCARNATIONALWATER_MDG,MDG,infrastructure,FUNDING_APPROVED,74,source officielle : Banque Mondiale (projets) (Banque de developpement) · 5 signal(aux) · 1 source(s) distincte(s) · poids de preuve 0.95 · confiance LLM 24% · phase identifiee (FUNDING_APPROVED) · 3 acteur(s),5,1,180.0,"world bank, ministère de l'economie et des finances, ministry of national education",2026-08-24,2026-08-24,BMP,"[{""titre"": ""Madagascar National Water Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P513376"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Madagascar Safety Nets and Resilience Project"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P509361"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Support for resilient livelihoods in the South of Madagascar"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P509009"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Madagascar Second Equitable and Resilient Growth Development Policy Operation"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P509948"", ""phase"": ""FUNDING_APPROVED""}, {""titre"": ""Transforming Access and Learning in Madagascar"", ""date"": ""2026-08-24"", ""lien"": ""https://projects.worldbank.org/en/projects-operations/project-detail/P506569"", ""phase"": ""FUNDING_APPROVED""}]"
