date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,niveau_opportunite_amarante,titre,acheteur,pays_execution,nature_client,secteur,categorie_es,statut,date_publication,type_client,type_mobilite,profil_personnes_exposees,duree_estimee,accessibilite_commerciale,securite_existante_detectee,profils_acteurs_probables,cible_commerciale_reelle,justification,confiance,modele,raffine,divergence,valeur_estimee,publication_number,lien_avis,statut_suivi,date_detection
2026-08-14,7.0,5.9,8.0,contacter,indetermine,fort,Celsia Colombia,C2 SUN,COL,Infrastructures,Energie renouvelable,B+ : projet à risque E&S élevé,Clôturé,2025-11-12,entreprise_privee,multi_sites,expert_international,longue_ou_residente,facile,False,"directeurs de projet et cadres dirigeants de la plateforme d'investissement, ingénieurs et superviseurs de chantier solaire, techniciens en installation et maintenance photovoltaïque, responsables HSE et conformité terrain, auditeurs et représentants du bailleur en visite de supervision","Entreprise privee financee par Proparco (groupe AFD) : C2 SUN en Colombie. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","La construction simultanée de sept centrales solaires réparties sur trois départements colombiens dont Cauca et Tolima, zones historiquement affectées par la présence de groupes armés non étatiques et des tensions liées aux conflits fonciers, génère un besoin structurel de sécurisation des déplacements inter-sites et de protection des équipes internationales sur des chantiers en zone rurale isolée. La durée longue du projet, la dispersion géographique des actifs et l'absence d'information sur un dispositif de sûreté existant constituent une opportunité opérationnelle directe pour des prestations d'escorte, de protection rapprochée et de sécurisation de convois.",0.91,claude-sonnet-4-6,True,False,85 135 365 EUR,PCO103003,,nouveau,2026-08-14
2026-08-14,6.5,6.4,6.5,contacter,indetermine,moyen,Kokshetau PPP,RÖNESANS S.Y,TUR,Entreprise,Santé,B+ : projet à risque E&S élevé,En cours,2025-02-19,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeurs de projet et chefs de chantier expatriés déployés à Kokshetau, ingénieurs et techniciens spécialisés en construction hospitalière en rotation, responsables exploitation et maintenance résidents sur site, cadres dirigeants en déplacement depuis le siège turc vers le Kazakhstan, experts en systèmes d'information hospitalière (HIMS) en mission terrain","Entreprise privee financee par Proparco (groupe AFD) : RÖNESANS S.Y en Turquie. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Le projet implique un chantier de construction hospitalière de grande envergure à Kokshetau, ville secondaire du Kazakhstan, nécessitant la présence durable d'équipes expatriées turques et internationales sur un site isolé hors capitale. La phase de construction puis d'exploitation résidente crée un besoin structurel de sécurisation des déplacements, d'escorte et de protection des cadres expatriés dans un environnement où la sûreté des prestataires étrangers est peu documentée.",0.78,claude-sonnet-4-6,True,False,30 000 000 EUR,PTR109301,,nouveau,2026-08-14
2026-08-14,6.5,6.4,6.5,contacter,indetermine,moyen,Q Group,SQ Celsius Limited / Q collection Pte Ltd,BGD,Entreprise,Industries,B+ : projet à risque E&S élevé,,,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet construction international, ingénieur génie civil ou industriel expatrié, consultant technique en certification environnementale, cadre financier ou compliance en mission de suivi bailleur, expert ESG ou auditeur social en déplacement terrain","Entreprise privee financee par Proparco (groupe AFD) : SQ Celsius Limited / Q collection Pte Ltd en Bangladesh. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","La construction d'une usine industrielle de grande envergure au Bangladesh implique des déplacements réguliers d'experts internationaux et de cadres sur chantier dans un pays présentant des risques sécuritaires non négligeables (instabilité politique, criminalité, risques liés aux mouvements sociaux dans le secteur textile). Les missions de supervision, d'audit et de suivi bailleur génèrent un besoin récurrent d'escorte et de transport sécurisé pour des profils expatriés à haute valeur.",0.72,claude-sonnet-4-6,True,False,25 746 652 EUR,PBD102601 / PBD102602,https://www.proparco.fr/fr/carte-des-projets/q-group,nouveau,2026-08-14
2026-08-14,6.5,6.5,6.5,contacter,indetermine,moyen,Pinela Follow-on,"Vinte Viviendas Integrales, S.A.B. de C.V",MEX,Entreprise,Immobilier?,A : projet à risque E&S très élevé,"En portefeuille depuis 2019. Réinvestissement signé en novembre 2024, et décaissé en décembre 2024.",2024-11-06,entreprise_privee,multi_sites,executive,longue_ou_residente,moyenne,False,"dirigeants et cadres supérieurs du promoteur immobilier en déplacement inter-sites, directeurs régionaux supervisant les chantiers dans le nord du Mexique, équipes de direction post-fusion en déplacement entre les entités fusionnées, investisseurs et représentants du bailleur en visite de due diligence ou de suivi","Entreprise privee financee par Proparco (groupe AFD) : Vinte Viviendas Integrales, S.A.B. de C.V en MEXIQUE. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Vinte opère sur de multiples chantiers de construction répartis sur l'ensemble du territoire mexicain, avec une exposition renforcée dans le nord du pays, zone à risque sécuritaire élevé lié aux organisations criminelles. La fusion avec Javer multiplie les sites opérationnels et les déplacements de cadres dirigeants, créant un besoin concret de protection rapprochée et de sécurisation des déplacements terrain pour les executives exposés.",0.72,claude-sonnet-4-6,True,False,20 000 000 EUR,PMX103201,https://www.proparco.fr/fr/carte-des-projets/pinela-follow-on,nouveau,2026-08-14
2026-08-14,6.5,6.4,6.5,contacter,indetermine,moyen,Acwa - Saguling,T SAGULING,IDN,Infrastructures,Energie renouvelable,A : projet à risque E&S très élevé,En cours,2025-03-05,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet international en phase construction, ingénieurs spécialisés en énergie solaire flottante, superviseurs techniques expatriés, représentants du développeur actionnaire en déplacement de supervision, équipes de commissioning et de mise en service","Entreprise privee financee par Proparco (groupe AFD) : T SAGULING en Indonésie. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Le projet implique une phase de construction longue d'une infrastructure industrielle sur un site lacustre isolé à Java Ouest, nécessitant la présence continue d'experts internationaux et de superviseurs expatriés exposés à des déplacements terrain réguliers entre Bandung et le réservoir. Le profil actionnaire international et la nature du chantier en milieu aquatique génèrent un besoin de sécurisation des déplacements et d'escorte pour les cadres étrangers, dans un contexte indonésien où la sûreté des expatriés sur sites industriels éloignés reste à évaluer.",0.72,claude-sonnet-4-6,True,False,18 366 864 EUR,PID103901,,nouveau,2026-08-14
2026-08-14,6.5,6.5,6.5,contacter,indetermine,moyen,Exagon - XLA Fund I,EXAGON - XIC,MEX,Infrastructures,Energie renouvelable,IF-A : projet à risque E&S très élevé,En cours,2025-10-08,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeurs d'investissement et associés en déplacement sur les sites de portefeuille, ingénieurs et superviseurs techniques déployés sur chantiers greenfield, responsables ESG et due diligence terrain, équipes de développement de projets basées à Bogota en déplacement régional, représentants de fonds en mission de monitoring dans des pays ALC à risque variable","Entreprise privee financee par Proparco (groupe AFD) : EXAGON - XIC en Multi-Pays ALC. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","Le déploiement de chantiers greenfield d'énergie renouvelable sur plusieurs pays d'Amérique latine et des Caraïbes expose des cadres internationaux et des techniciens à des environnements à risque variable, notamment lors des phases de développement, de supervision de construction et de monitoring d'actifs. La présence opérationnelle confirmée à Bogota et les déplacements multi-pays génèrent un besoin réel d'escorte, de chauffeurs sécurité et de sécurisation de déplacements terrain, avec un accès commercial direct à une société de gestion privée de taille mid-market accessible via le réseau Proparco.",0.72,claude-sonnet-4-6,True,False,12 770 305 EUR,PZZ172301,,nouveau,2026-08-14
2026-08-14,6.5,6.4,6.5,contacter,indetermine,fort,P. Fragiles: Nutri K,Nutrik Limited,NGA,Fabricant de RUTF,MAS,B : projet à risque E&S modéré,en cours,2024-10-04,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet ou responsable de site expatrié, ingénieurs et techniciens de construction détachés par la maison mère, cadres dirigeants en déplacement depuis le siège européen, auditeurs et contrôleurs qualité en mission ponctuelle, représentants du bailleur en visite de supervision","Entreprise privee financee par Proparco (groupe AFD) : Nutrik Limited en NIGERIA. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","La construction d'une usine industrielle à Kano, dans le nord du Nigeria, zone exposée à l'insécurité jihadiste et aux tensions intercommunautaires à proximité de la frontière nigérienne, implique des déplacements réguliers de cadres et techniciens expatriés sur un chantier actif pendant plusieurs années. Ce contexte génère un besoin concret d'escorte, de protection rapprochée et de sécurisation des déplacements entre Kano et les axes logistiques régionaux.",0.88,claude-sonnet-4-6,True,False,2 000 000 EUR,PNG109301,https://www.proparco.fr/fr/carte-des-projets/p-fragiles-nutri-k,nouveau,2026-08-14
2026-08-14,6.5,6.5,6.5,contacter,indetermine,moyen,AT ECOM Biochar,ECOM,HND,Entreprise,Agro-industrie et agriculture,C : projet à risque E&S faible,En cours,2025-03-18,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"experts en agronomie et biochar déployés sur sites pilotes, responsables de programmes terrain multi-origines, techniciens de supervision de technologies de production, coordinateurs supply chain en zones rurales caféières et cacaoyères, cadres internationaux en déplacement entre origines","Entreprise privee financee par Proparco (groupe AFD) : ECOM en Multi-Pays. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","ECOM déploie des experts internationaux sur des sites pilotes de production de biochar dans des zones rurales agricoles de plusieurs pays à risque, impliquant des déplacements terrain récurrents hors capitales dans des environnements potentiellement peu sécurisés. La nature multi-pays et multi-sites du projet, combinée à la présence dans des filières café, cacao et coton dans des origines sensibles, génère un besoin réel de sécurisation des déplacements et d'escorte terrain.",0.72,claude-sonnet-4-6,True,False,320 000 EUR,PZZ174601,,nouveau,2026-08-14
2026-08-14,6.2,5.9,6.5,contacter,indetermine,moyen,ETC Group SLL,ETC Group Mauritius,ZAF,Négociant en denrées agricoles,MAS,A : projet à risque E&S très élevé,en cours,2024-11-20,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeurs régionaux et executives en déplacement inter-pays, responsables de chaîne d'approvisionnement agricole, auditeurs et contrôleurs ESG terrain, techniciens agronomes et formateurs terrain, responsables de sites de transformation industrielle","Entreprise privee financee par Proparco (groupe AFD) : ETC Group Mauritius en MULTI-PAYS, Afrique
sub-saharienne. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","ETC Group opère sur de multiples pays d'Afrique sub-saharienne avec des actifs industriels, des sites de transformation et des équipes terrain exposées dans des zones rurales et périurbaines à risque variable. Les déplacements fréquents de cadres régionaux et d'experts ESG entre sites dispersés génèrent un besoin réel de sécurisation des mobilités et d'escorte terrain.",0.62,claude-sonnet-4-6,True,False,47 321 598 EUR,PZZ168201,https://www.proparco.fr/fr/carte-des-projets/etc-group-sll,nouveau,2026-08-14
2026-08-14,6.2,5.9,6.5,contacter,indetermine,moyen,WIOCC 3,WIOCC,NGA,Infrastructures,Télécom,B+ : projet à risque E&S élevé,En cours,2025-12-10,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeurs de projet infrastructure télécom déployés sur plusieurs pays, ingénieurs réseaux et techniciens fibre optique en déplacement multi-sites, responsables de déploiement câbles sous-marins et terrestres, cadres dirigeants en tournée de supervision régionale, équipes de mise en service de centres de données","Entreprise privee financee par Proparco (groupe AFD) : WIOCC en Multi-Pays AFR. Cible : le client et ses equipes deployees sur zone a risque. Bailleur francais, souvent plus accessible qu'un marche multilateral.","WIOCC déploie des équipes techniques et des cadres internationaux sur des chantiers d'infrastructure télécom répartis dans plusieurs pays africains à risque variable, générant un besoin récurrent d'escorte, de protection rapprochée et de sécurisation de déplacements terrain. La nature multi-pays et la durée longue du programme CAPEX 2026 renforcent la probabilité d'un besoin opérationnel structuré, même si la sécurité existante reste inconnue.",0.72,claude-sonnet-4-6,True,False,12 770 305 EUR,PZZ178301,,nouveau,2026-08-14
