date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,niveau_opportunite_amarante,titre,acheteur,pays_execution,pays_acheteur,type_client,type_mobilite,profil_personnes_exposees,duree_estimee,accessibilite_commerciale,securite_existante_detectee,profils_acteurs_probables,cible_commerciale_reelle,justification,confiance,modele,raffine,divergence,type_notice,phase,secteur,client,publication_number,lien_avis,deadline,date_publication,statut_suivi,date_detection
2026-07-07,5.9,5.5,7.0,surveiller,indetermine,faible,Serbian Solid Waste Programme,Republic of Serbia,SRB,,bailleur_donateur,multi_sites,expert_international,longue_ou_residente,moyenne,False,"bureau d'études en ingénierie environnementale ou gestion des déchets, consortium d'assistance technique européen spécialisé en infrastructures municipales, opérateur de gestion de déchets avec composante supervision terrain",Client maitre d'ouvrage : Republic of Serbia. Viser le client (direction projet / surete) et le bureau titulaire qui deploiera des equipes sur le terrain.,"La Serbie est un pays candidat à l'UE avec un niveau de risque sécuritaire globalement bas ; un programme de gestion des déchets solides implique certes des déplacements multi-sites et une présence terrain d'experts internationaux, mais le contexte sécuritaire serbe ne génère pas de besoin opérationnel réel en escorte, protection rapprochée ou véhicule sécurisé.",0.72,claude-sonnet-4-6,True,True,Appel d'offres,tender,Municipal and Environmental Infrastructure,Republic of Serbia,52642-appel d'offr-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,5.7,4.8,6.5,surveiller,indetermine,fort,RLF - Ukrnafta II,Ukrnafta PJSC,UKR,,entreprise_privee,chantier,technicien,longue_ou_residente,moyenne,False,"opérateur pétrolier ou gazier international intervenant en Ukraine, bureau d'ingénierie spécialisé en énergie ou hydrocarbures, consortium technique international avec personnel expatrié déployé sur sites de production",Client maitre d'ouvrage : Ukrnafta PJSC. Projet en phase amont (GPN/prequalif) : se positionner tot aupres du client et du futur titulaire deploye en zone a risque.,"Ukrnafta est un opérateur pétrolier et gazier ukrainien majeur dont les installations sont réparties sur plusieurs régions d'Ukraine, pays en guerre active depuis 2022 ; tout déploiement de personnel technique international sur ses sites de production implique un besoin réel d'escorte armée, de véhicules sécurisés et de protection rapprochée dans un contexte de conflit armé à haute intensité.",0.72,claude-sonnet-4-6,True,True,Avis general de passation,amont,Power and Energy,Ukrnafta PJSC,56077-avis general-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,5.4,3.8,7.0,surveiller,indetermine,faible,GrCF2 W2 - Ganja Solid Waste,Azerbaijan Sovereign,AZE,,bailleur_donateur,chantier,technicien,longue_ou_residente,moyenne,False,"consortium d'ingénierie environnementale européen ou international spécialisé en gestion des déchets solides, bureau d'études en infrastructure municipale avec supervision de chantier, opérateur de gestion de déchets avec encadrement technique étranger",Client maitre d'ouvrage : Azerbaijan Sovereign. Viser le client (direction projet / surete) et le bureau titulaire qui deploiera des equipes sur le terrain.,"L'Azerbaïdjan est un pays à risque sécuritaire modéré et globalement stable, avec une capitale et des villes secondaires comme Ganja relativement sécurisées. Un chantier de gestion des déchets solides en milieu urbain ou péri-urbain implique une présence terrain réelle de techniciens étrangers, mais le profil de risque opérationnel ne justifie pas typiquement le recours à une escorte armée ou à une protection rapprochée ; le besoin de sûreté opérationnelle concrète pour Amarante reste donc peu probable sur ce type de mission en Azerbaïdjan.",0.55,claude-sonnet-4-6,True,True,Appel d'offres,tender,Municipal and Environmental Infrastructure,Azerbaijan Sovereign,52399-appel d'offr-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,5.3,4.2,6.5,surveiller,indetermine,faible,Namangan Substation,NEGU,UZB,,entreprise_privee,chantier,technicien,longue_ou_residente,moyenne,False,"consortium d'ingénierie électrique ou énergétique international, bureau d'études spécialisé en infrastructures haute tension, opérateur industriel en énergie avec encadrement technique étranger",Client maitre d'ouvrage : NEGU. Viser le client (direction projet / surete) et le bureau titulaire qui deploiera des equipes sur le terrain.,"L'Ouzbékistan est un pays globalement stable avec un niveau de risque sécuritaire modéré ; un chantier de sous-station électrique à Namangan implique probablement des techniciens étrangers en supervision, mais le contexte sécuritaire local ne génère pas de besoin fort en escorte ou protection rapprochée. L'opportunité pour Amarante reste marginale sauf si le client identifie un besoin spécifique lié à la protection d'équipements ou de personnel expatrié.",0.35,claude-sonnet-4-6,True,True,Appel d'offres,tender,Energy Eurasia,NEGU,56216-appel d'offr-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,5.1,3.8,6.5,surveiller,indetermine,faible,Aktau Port Modernisation,National Company Aktau Sea Commercial Port,KAZ,,entreprise_privee,chantier,technicien,longue_ou_residente,moyenne,False,"consortium d'ingénierie portuaire et maritime international, bureau d'études spécialisé en infrastructures portuaires, opérateur de travaux maritimes et génie civil avec encadrement technique étranger, consultant en modernisation logistique et portuaire",Client maitre d'ouvrage : National Company Aktau Sea Commercial Port. Projet en phase amont (GPN/prequalif) : se positionner tot aupres du client et du futur titulaire deploye en zone a risque.,"Un projet de modernisation portuaire à Aktau implique probablement la présence de techniciens et ingénieurs étrangers sur un chantier industriel au Kazakhstan, pays globalement stable mais avec des zones industrielles et portuaires sur la mer Caspienne présentant un contexte sécuritaire à surveiller. Toutefois, le Kazakhstan est un pays à risque modéré, l'acheteur est une entité nationale locale, et la description est très pauvre, ce qui limite la certitude sur le besoin opérationnel réel en sûreté pour Amarante.",0.3,claude-sonnet-4-6,True,True,Avis general de passation,amont,Transport,National Company Aktau Sea Commercial Port,53786-avis general-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,4.8,4.2,5.5,surveiller,indetermine,faible,Namangan Substation,NEGU,UZB,,entreprise_privee,chantier,technicien,indetermine,moyenne,False,"consortium d'ingénierie électrique ou énergétique international, bureau d'études spécialisé en infrastructures haute tension, opérateur industriel en énergie avec équipes techniques expatriées",Client maitre d'ouvrage : NEGU. Projet en phase amont (GPN/prequalif) : se positionner tot aupres du client et du futur titulaire deploye en zone a risque.,"Un projet de sous-station électrique à Namangan (Ouzbékistan) implique probablement la présence de techniciens et ingénieurs étrangers sur un chantier hors capitale, mais l'Ouzbékistan est un pays à risque sécuritaire modéré et relativement stable, ce qui limite le besoin opérationnel urgent ; l'opportunité pour Amarante reste faible en l'absence d'informations sur la durée, le volume de personnel expatrié et le niveau de risque local réel.",0.3,claude-sonnet-4-6,True,True,Avis general de passation,amont,Energy Eurasia,NEGU,56216-avis general-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,4.6,3.8,5.5,surveiller,indetermine,faible,Alatau Zharyk Grid Reinforcement,JSC &quot;Alatau Zharyk Company&quot;,KAZ,,entreprise_privee,chantier,technicien,indetermine,moyenne,False,"consortium d'ingénierie électrique ou énergétique international, bureau d'études spécialisé en réseaux électriques haute tension, opérateur industriel en infrastructure énergétique avec encadrement technique étranger",Client maitre d'ouvrage : JSC &quot;Alatau Zharyk Company&quot;. Viser le client (direction projet / surete) et le bureau titulaire qui deploiera des equipes sur le terrain.,"Le Kazakhstan est un pays globalement stable avec un environnement sécuritaire maîtrisé pour les projets d'infrastructure énergétique ; bien qu'un déploiement terrain de techniciens étrangers soit probable sur un chantier de renforcement de réseau électrique, le profil de risque résiduel ne justifie pas typiquement le recours à une prestation d'escorte ou de protection rapprochée. L'acheteur est une société locale kazakhe, ce qui rend l'accès commercial pour un prestataire de sûreté français plus difficile.",0.35,claude-sonnet-4-6,True,False,Appel d'offres,tender,Energy Eurasia,JSC &quot;Alatau Zharyk Company&quot;,56504-appel d'offr-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,4.6,3.8,5.5,surveiller,indetermine,faible,Alatau Zharyk Grid Reinforcement,"JSC ""Alatau Zharyk Company""",KAZ,,entreprise_privee,chantier,technicien,indetermine,moyenne,False,"consortium d'ingénierie électrique ou énergétique international, bureau d'études spécialisé en réseaux électriques haute tension, opérateur industriel en infrastructure énergétique avec encadrement technique étranger","Client maitre d'ouvrage : JSC ""Alatau Zharyk Company"". Projet en phase amont (GPN/prequalif) : se positionner tot aupres du client et du futur titulaire deploye en zone a risque.","Le renforcement de réseau électrique au Kazakhstan implique probablement des déplacements sur des sites de chantier hors capitale avec du personnel technique étranger, mais le Kazakhstan est un pays à risque sécuritaire modéré et l'acheteur est une société locale d'énergie dont les marchés de sécurité sont généralement gérés en interne ou via des prestataires locaux, limitant l'accessibilité commerciale pour Amarante.",0.35,claude-sonnet-4-6,True,False,Avis general de passation,amont,Energy Eurasia,"JSC ""Alatau Zharyk Company""",56504-avis general-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,4.6,3.8,5.5,surveiller,indetermine,moyen,CAPSA,COMPAGNIE DES PHOSPHATES DE GAFSA,TUN,,entreprise_privee,chantier,technicien,indetermine,moyenne,False,"opérateur industriel minier ou extractif avec encadrement technique étranger, bureau d'études spécialisé en ressources naturelles ou industrie minière, consortium d'ingénierie intervenant sur site d'extraction de phosphates",Client maitre d'ouvrage : COMPAGNIE DES PHOSPHATES DE GAFSA. Viser le client (direction projet / surete) et le bureau titulaire qui deploiera des equipes sur le terrain.,"La Compagnie des Phosphates de Gafsa opère dans une zone industrielle et minière du centre-ouest tunisien, région historiquement marquée par des tensions sociales et des accès difficiles hors capitale ; un déploiement de techniciens ou cadres étrangers sur site d'extraction peut justifier un accompagnement sécurisé (véhicule sécurisé, chauffeur sécurité, escorte ponctuelle). L'absence de description détaillée et le titre générique 'CAPSA' limitent toutefois la certitude sur la nature exacte de la prestation et le volume de personnel exposé.",0.35,claude-sonnet-4-6,True,True,Appel d'offres,tender,Natural Resources,COMPAGNIE DES PHOSPHATES DE GAFSA,55930-appel d'offr-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
2026-07-07,4.6,3.8,5.5,surveiller,indetermine,moyen,CAPSA,COMPAGNIE DES PHOSPHATES DE GAFSA,TUN,,entreprise_privee,chantier,technicien,indetermine,moyenne,False,"opérateur industriel minier national avec encadrement technique étranger, bureau d'études spécialisé en extraction minière ou traitement de phosphates, consortium d'ingénierie industrielle avec experts internationaux déployés sur site",Client maitre d'ouvrage : COMPAGNIE DES PHOSPHATES DE GAFSA. Projet en phase amont (GPN/prequalif) : se positionner tot aupres du client et du futur titulaire deploye en zone a risque.,"La Compagnie des Phosphates de Gafsa opère des sites miniers dans la région de Gafsa, zone historiquement marquée par des tensions sociales et des mouvements de protestation récurrents autour des sites d'extraction ; des experts ou techniciens étrangers déployés sur ces chantiers peuvent nécessiter une escorte ou un véhicule sécurisé pour leurs déplacements entre la capitale et les sites miniers. Toutefois, l'avis est très peu détaillé et l'acheteur est une entreprise publique tunisienne dont les marchés peuvent être partiellement fermés à des prestataires étrangers de sûreté.",0.35,claude-sonnet-4-6,True,True,Avis general de passation,amont,Natural Resources,COMPAGNIE DES PHOSPHATES DE GAFSA,55930-avis general-na,https://ecepp.ebrd.com/delta/noticeSearchResults.html,,,nouveau,2026-07-07
